# Spectral Data
# f in Hz A in dBV
Hz dBV
492.187500 -14.029780
493.652344 -14.019824
495.117187 -14.010858
496.582031 -14.030786
498.046875 -14.049811
499.511719 -14.020986
500.976562 -14.028292
502.441406 -14.028570
503.906250 -14.038276
505.371094 -14.073226
506.835937 -14.139538
508.300781 -14.082113
509.765625 -14.022043
511.230469 -13.977014
512.695312 -13.928044
514.160156 -13.927798
515.625000 -13.961398
517.089844 -13.997300
518.554687 -14.001409
520.019531 -13.952327
521.484375 -13.921497
522.949219 -13.899399
524.414062 -13.856237
525.878906 -13.811698
527.343750 -13.745430
528.808594 -13.640151
530.273437 -13.558892
531.738281 -13.476128
533.203125 -13.424129
534.667969 -13.361391
536.132812 -13.290147
537.597656 -13.249411
539.062500 -13.243973
540.527344 -13.258794
541.992187 -13.376017
543.457031 -13.530830
544.921875 -13.669553
546.386719 -13.797888
547.851562 -13.962575
549.316406 -14.103863
550.781250 -14.175672
552.246094 -14.129969
553.710937 -13.935889
555.175781 -13.812741
556.640625 -13.842486
558.105469 -14.039400
559.570312 -14.365720
561.035156 -14.639869
562.500000 -14.803625
563.964844 -14.852777
565.429687 -14.841215
566.894531 -14.885598
568.359375 -14.934650
569.824219 -14.995193
571.289062 -15.075983
572.753906 -15.162594
574.218750 -15.184264
575.683594 -15.227345
577.148437 -15.232505
578.613281 -15.293614
580.078125 -15.372789
581.542969 -15.356886
583.007812 -15.342438
584.472656 -15.331652
585.937500 -15.325742
587.402344 -15.342131
588.867187 -15.331516
590.332031 -15.355327
591.796875 -15.381597
593.261719 -15.448496
594.726562 -15.472652
596.191406 -15.492994
597.656250 -15.566356
599.121094 -15.605995
600.585937 -15.568733
602.050781 -15.554772
603.515625 -15.538280
604.980469 -15.538965
606.445312 -15.536983
607.910156 -15.502813
609.375000 -15.469022
610.839844 -15.483412
612.304687 -15.461215
613.769531 -15.456343
615.234375 -15.407683
616.699219 -15.420788
618.164062 -15.436050
619.628906 -15.432121
621.093750 -15.455558
622.558594 -15.478613
624.023437 -15.449878
625.488281 -15.404584
626.953125 -15.368659
628.417969 -15.307146
629.882812 -15.264980
631.347656 -15.254311
632.812500 -15.235234
634.277344 -15.186217
635.742187 -15.138761
637.207031 -15.106788
638.671875 -15.069259
640.136719 -15.015678
641.601562 -14.946323
643.066406 -14.888166
644.531250 -14.841577
645.996094 -14.802790
647.460937 -14.763057
648.925781 -14.707606
650.390625 -14.576478
651.855469 -14.399101
653.320312 -14.201233
654.785156 -14.055870
656.250000 -14.011610
657.714844 -14.015326
659.179687 -13.989563
660.644531 -13.957742
662.109375 -13.867980
663.574219 -13.745680
665.039062 -13.655993
666.503906 -13.551404
667.968750 -13.482943
669.433594 -13.394012
670.898437 -13.376683
672.363281 -13.373598
673.828125 -13.432512
675.292969 -13.483224
676.757812 -13.563242
678.222656 -13.713531
679.687500 -13.731859
681.152344 -13.725105
682.617187 -13.746216
684.082031 -13.834937
685.546875 -13.892766
687.011719 -13.917761
688.476562 -13.944634
689.941406 -13.954781
691.406250 -14.005830
692.871094 -14.080033
694.335937 -14.135770
695.800781 -14.186631
697.265625 -14.221995
698.730469 -14.264764
700.195312 -14.304014
701.660156 -14.358989
703.125000 -14.406108
704.589844 -14.467628
706.054687 -14.492406
707.519531 -14.527350
708.984375 -14.533796
710.449219 -14.557829
711.914062 -14.576191
713.378906 -14.564985
714.843750 -14.551908
716.308594 -14.585457
717.773437 -14.609630
719.238281 -14.594293
720.703125 -14.598125
722.167969 -14.644541
723.632812 -14.672808
725.097656 -14.752396
726.562500 -14.851145
728.027344 -14.901070
729.492187 -14.983686
730.957031 -15.045944
732.421875 -15.059546
733.886719 -15.054260
735.351562 -15.064187
736.816406 -15.066898
738.281250 -15.093438
739.746094 -15.100656
741.210937 -15.125220
742.675781 -15.158319
744.140625 -15.157933
745.605469 -15.158154
747.070312 -15.158847
748.535156 -15.099766
750.000000 -14.926430
751.464844 -14.552396
752.929687 -14.169200
754.394531 -13.958285
755.859375 -13.911774
757.324219 -14.028664
758.789062 -14.312077
760.253906 -14.760731
761.718750 -15.184678
763.183594 -15.392624
764.648437 -15.418165
766.113281 -15.377866
767.578125 -15.336439
769.042969 -15.347660
770.507812 -15.309141
771.972656 -15.309903
773.437500 -15.321543
774.902344 -15.330109
776.367187 -15.306724
777.832031 -15.288806
779.296875 -15.301909
780.761719 -15.295229
782.226562 -15.270090
783.691406 -15.208692
785.156250 -15.171063
786.621094 -15.161349
788.085937 -15.140100
789.550781 -15.091379
791.015625 -15.026564
792.480469 -14.972059
793.945312 -14.887531
795.410156 -14.786565
796.875000 -14.689001
798.339844 -14.635184
799.804687 -14.567341
801.269531 -14.541805
802.734375 -14.523753
804.199219 -14.489970
805.664062 -14.504683
807.128906 -14.578740
808.593750 -14.629734
810.058594 -14.684223
811.523437 -14.724110
812.988281 -14.750403
814.453125 -14.831126
815.917969 -14.904781
817.382812 -14.977625
818.847656 -15.075450
820.312500 -15.182081
821.777344 -15.261506
823.242187 -15.335604
824.707031 -15.375717
826.171875 -15.442172
827.636719 -15.500808
829.101562 -15.608633
830.566406 -15.724411
832.031250 -15.778374
833.496094 -15.832983
834.960937 -15.881127
836.425781 -15.888403
837.890625 -15.916879
839.355469 -15.934630
840.820312 -15.969865
842.285156 -15.994647
843.750000 -15.943043
845.214844 -15.950734
846.679687 -15.938186
848.144531 -15.857123
849.609375 -15.706494
851.074219 -15.237861
852.539062 -14.784414
854.003906 -14.521018
855.468750 -14.430327
856.933594 -14.506615
858.398437 -14.750749
859.863281 -15.167859
861.328125 -15.698378
862.792969 -15.937158
864.257812 -15.996637
865.722656 -15.989790
867.187500 -16.026136
868.652344 -16.006728
870.117187 -15.977865
871.582031 -15.966749
873.046875 -15.923391
874.511719 -15.932359
875.976562 -15.931909
877.441406 -15.925212
878.906250 -15.876147
880.371094 -15.858563
881.835937 -15.824195
883.300781 -15.790751
884.765625 -15.732820
886.230469 -15.697337
887.695312 -15.699950
889.160156 -15.708749
890.625000 -15.686311
892.089844 -15.716433
893.554687 -15.665769
895.019531 -15.583663
896.484375 -15.531006
897.949219 -15.492765
899.414062 -15.469691
900.878906 -15.453538
902.343750 -15.382501
903.808594 -15.366147
905.273437 -15.253802
906.738281 -15.228529
908.203125 -15.194991
909.667969 -15.130339
911.132812 -15.055083
912.597656 -14.951272
914.062500 -14.883529
915.527344 -14.843739
916.992187 -14.787547
918.457031 -14.732906
919.921875 -14.671104
921.386719 -14.602968
922.851562 -14.544416
924.316406 -14.465856
925.781250 -14.417382
927.246094 -14.333243
928.710937 -14.265049
930.175781 -14.173132
931.640625 -14.119980
933.105469 -14.063228
934.570312 -14.009239
936.035156 -13.929794
937.500000 -13.897684
938.964844 -13.903076
940.429687 -13.926390
941.894531 -13.938956
943.359375 -13.970751
944.824219 -14.052549
946.289062 -14.141610
947.753906 -14.280235
949.218750 -14.354630
950.683594 -14.382016
952.148437 -14.339008
953.613281 -14.279057
955.078125 -14.263344
956.542969 -14.334046
958.007812 -14.429471
959.472656 -14.562532
960.937500 -14.677482
962.402344 -14.830280
963.867187 -14.898317
965.332031 -14.979098
966.796875 -15.024695
968.261719 -15.074795
969.726562 -15.131465
971.191406 -15.228137
972.656250 -15.246065
974.121094 -15.310705
975.585937 -15.353910
977.050781 -15.386969
978.515625 -15.458913
979.980469 -15.517785
981.445312 -15.534356
982.910156 -15.536297
984.375000 -15.525312
985.839844 -15.541296
987.304687 -15.592800
988.769531 -15.661136
990.234375 -15.698563
991.699219 -15.777128
993.164062 -15.890349
994.628906 -15.919824
996.093750 -15.968122
997.558594 -15.994696
